"","POLINTR","STFLIFE","FREEHMS","IMUECLT","HAPPY","INPRDSC","ALCWKND","WRHPP","FLTSD","AGEA","CHLDHM","WKHTOT","happ","stflif","polint","imuecl"
"1",2,5,2,1,6,6,68,3,1,43,1,33,0,0,1,0
"2",1,5,1,5,5,4,35,2,2,46,1,25,0,0,1,0
"3",3,9,1,2,10,3,74,4,1,37,2,35,1,1,0,0
"4",3,7,1,3,7,5,142,3,2,20,2,38,0,1,0,0
"5",1,4,3,5,7,4,0,1,2,74,2,42,0,0,1,0
"6",1,10,1,10,8,2,156,3,1,39,1,50,1,1,1,1
"7",3,9,2,5,8,1,25,3,1,82,2,38,1,1,0,0
"8",3,9,1,5,9,4,12,3,1,15,2,0,1,1,0,0
"9",2,8,1,6,8,6,66,2,2,42,1,43,1,1,1,1
"10",3,6,2,5,8,3,0,4,1,26,2,2,1,0,0,0
"11",3,5,2,3,7,1,56,3,2,64,2,40,0,0,0,0
"12",2,10,4,5,10,4,17,4,1,43,1,20,1,1,1,0
"13",2,5,1,4,7,1,30,4,2,87,2,0,0,0,1,0
"14",2,8,2,8,9,2,74,3,1,59,2,30,1,1,1,1
"15",3,9,1,7,10,3,50,3,1,21,2,10,1,1,0,1
"16",3,8,1,5,7,1,0,2,1,62,1,45,0,1,0,0
"17",2,10,1,7,10,4,52,3,2,24,2,8,1,1,1,1
"18",2,8,1,0,8,3,0,3,1,52,1,33,1,1,1,0
"19",2,10,2,5,10,3,0,3,1,63,2,15,1,1,1,0
"20",4,10,1,4,10,4,322,4,2,21,2,38,1,1,0,0
"21",2,6,2,3,8,3,90,3,1,36,1,48,1,0,1,0
"22",3,8,1,6,8,4,188,2,1,43,2,38,1,1,0,1
"23",2,8,1,8,7,3,0,2,2,18,2,24,0,1,1,1
"24",4,9,3,5,7,0,12,4,1,85,2,24,0,1,0,0
"25",3,7,1,7,7,2,37,2,3,44,1,42,0,1,0,1
"26",2,8,2,2,8,1,42,3,1,62,2,40,1,1,1,0
"27",1,4,3,5,5,4,38,2,2,54,1,38,0,0,1,0
"28",2,8,1,8,10,5,100,3,1,26,2,50,1,1,1,1
"29",3,8,2,7,8,4,185,3,2,26,2,0,1,1,0,1
"30",3,9,1,8,8,2,74,4,2,33,1,42,1,1,0,1
"31",1,8,1,8,8,5,25,3,1,58,2,43,1,1,1,1
"32",3,7,1,6,7,4,144,3,2,22,2,40,0,1,0,1
"33",2,9,1,1,9,1,72,4,2,58,2,0,1,1,1,0
"34",3,9,2,4,7,1,0,3,1,73,2,24,0,1,0,0
"35",2,8,2,7,9,4,74,4,2,58,2,40,1,1,1,1
"36",2,9,3,2,9,4,47,3,2,73,2,42,1,1,1,0
"37",3,8,2,4,8,2,38,3,1,30,2,55,1,1,0,0
"38",3,7,2,7,7,5,91,3,2,23,2,32,0,1,0,1
"39",2,8,2,9,8,3,19,3,1,56,2,45,1,1,1,1
"40",2,6,1,7,7,2,17,3,1,31,1,20,0,0,1,1
"41",3,7,1,9,7,5,37,1,2,25,2,38,0,1,0,1
"42",2,9,1,6,7,5,54,3,2,18,2,30,0,1,1,1
"43",2,8,2,4,8,3,93,3,1,60,1,38,1,1,1,0
"44",3,9,2,3,9,4,117,3,1,23,2,40,1,1,0,0
"45",3,9,2,7,9,3,65,4,1,60,2,40,1,1,0,1
"46",2,9,1,8,9,4,94,4,1,37,1,48,1,1,1,1
"47",3,5,1,4,5,3,87,2,1,19,2,40,0,0,0,0
"48",3,5,2,5,5,3,87,3,1,20,2,38,0,0,0,0
"49",2,2,2,1,10,1,25,4,1,81,2,40,1,0,1,0
"50",3,9,2,8,9,1,19,3,1,74,2,38,1,1,0,1
"51",2,10,1,10,10,2,35,3,1,33,1,60,1,1,1,1
"52",4,9,2,5,9,3,19,3,1,39,1,38,1,1,0,0
"53",2,7,1,8,7,4,35,3,2,62,2,42,0,1,1,1
"54",3,8,1,4,9,4,74,3,1,22,2,11,1,1,0,0
"55",2,8,3,6,8,2,25,3,1,54,2,38,1,1,1,1
"56",3,10,1,7,10,4,31,4,1,64,2,22,1,1,0,1
"57",2,9,2,5,8,2,0,3,1,69,2,40,1,1,1,0
"58",3,9,1,7,8,4,46,3,1,50,1,40,1,1,0,1
"59",2,8,2,7,9,3,86,3,1,45,2,38,1,1,1,1
"60",3,5,1,9,4,2,25,2,2,38,2,40,0,0,0,1
"61",2,10,1,5,9,3,46,3,1,70,2,34,1,1,1,0
"62",2,8,2,6,8,1,99,2,1,52,1,45,1,1,1,1
"63",3,9,1,8,10,3,47,4,1,39,1,38,1,1,0,1
"64",3,10,1,6,8,3,12,3,1,69,2,38,1,1,0,1
"65",3,8,1,5,9,4,35,3,1,15,2,9,1,1,0,0
"66",3,7,2,4,8,2,132,3,2,53,1,38,1,1,0,0
"67",3,10,2,6,9,2,30,4,1,47,2,20,1,1,0,1
"68",3,8,5,7,8,6,213,2,2,21,2,56,1,1,0,1
"69",3,7,2,4,7,4,81,3,1,48,2,38,0,1,0,0
"70",3,7,2,2,7,2,75,3,1,40,1,50,0,1,0,0
